Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bermuda,,0,0,0,0,0,0,0,0,0,0,0,0
Canada,,2991.35708,3121.42222,3173.4059,3372.93565,3340.97558,3403.83628,3306.79066,3115.17147,3010.60375,3063.11716,2912.7812,3050.15655
Greenland,,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,,1398.19148,1395.33097,1513.00055,1639.71077,1653.30704,1656.34413,2199.84198,2024.89147,2129.28261,2134.50923,2286.32842,2356.42869
Saint Pierre and Miquelon,,0,0,0,0,0,0,0,0,0,0,0,0
United States,,23333,22239,23007,22277,22403,22014,21699,23104,23277,22910,24087,24477
Antarctica,,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,,1172.81115,1102.5343,1068.98505,1221.1927,1338.79165,1428.1386,1474.7544,1551.0348,1568.33915,1523.4891,1528.78635,1629.08095
Aruba,,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas The,,0,0,0,0,0,0,0,0,0,0,0,0
Barbados,,1.03,1.03,1.03,1.03,1.03,1.03,1.03014,0.98882,1.13008,0.7063,0.7063,0.7063
Belize,,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,,44.4969,28.9583,36.0213,79.1056,75.5741,74.51465,84.756,88.64065,101.38937,99.94145,96.0568,87.22805
Brazil,,333.3736,396.2343,472.86785,499.3541,608.1243,657.21215,682.9921,701.3559,835.19975,661.0968,889.938,884.9939
Cayman Islands,,0,0,0,0,0,0,0,0,0,0,0,0
Chile,,183.99115,223.8971,227.4286,279.34165,292.76135,301.5901,265.5688,157.04581,97.18688,114.84438,187.02824,201.40145
Colombia,,201.2955,215.06835,217.5404,215.06835,218.2467,235.55105,254.9743,266.2751,264.8625,306.88735,320.6602,312.1846
Costa Rica,,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,,21.189,10.5945,12.36025,13.06655,13.06655,14.126,14.126,21.189,40.9654,40.9654,37.78705,36.37445
Dominica,,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,,0,0,0,10.5945,4.59095,8.82875,8.82875,16.9512,16.59805,19.7764,28.9583,32.84295
Ecuador,,4.9441,5.6504,3.5315,5.29725,6.00355,9.1819,9.8882,9.71163,9.1819,10.45324,11.65395,8.4756
El Salvador,,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands (Islas Malvinas),,0,0,0,0,0,0,0,0,0,0,0,0
French Guiana,,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe,,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,,0,0,0,0,0,0,0,0,0,0,0,0
Guyana,,0,0,0,0,0,0,0,0,0,0,0,0
Haiti,,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica,,0,0,0,0,0,0,0,0,0,0,0,0
