Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0
Canada,6469.708,6596.842,6631.4507,6453.4631,6482.91581,6560.85602,6547.93073,6415.74668,6045.75143,5633.66069,5389.7753,5218.1444
Greenland,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,1314.45962,1301.99342,1333.56503,1400.09849,1252.09333,1348.53859,1740.57041,1678.45132,1694.09587,1721.78283,1798.66358,1744.34911
Saint Pierre and Miquelon,0,0,0,0,0,0,0,0,0,0,0,0
United States,19182,19616,18928,19099,18591,18051,18504,19266,20159,20624,21316,22902
Antarctica,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,1321.13415,1311.5991,1275.22465,1449.3276,1584.9372,1611.42345,1628.0215,1583.17145,1555.9789,1460.69903,1416.1315,1369.16255
Aruba,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas The,0,0,0,0,0,0,0,0,0,0,0,0
Barbados,1.03,1.03,1.03,1.03,1.03,1.03,1.03014,0.98882,1.13008,0.7063,0.7063,0.7063
Belize,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,117.2458,165.2742,204.827,254.9743,354.91575,436.14025,465.80485,497.58835,517.75321,445.6753,507.47655,557.62385
Brazil,257.44635,233.7853,287.11095,311.4783,341.1429,345.02755,348.9122,347.4996,445.6753,363.0382,444.61585,514.8927
Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0
Chile,40.2591,42.378,38.8465,65.33275,38.49335,72.0426,69.2174,62.79007,61.2009,68.01669,65.4387,55.72707
Colombia,201.2955,215.06835,217.5404,215.06835,218.2467,235.55105,254.9743,269.8066,317.835,370.45435,397.6469,386.69925
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,21.189,10.5945,12.36025,13.06655,13.06655,14.126,14.126,21.189,40.9654,40.9654,37.78705,36.37445
Dominica,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,4.9441,5.6504,3.5315,5.29725,6.00355,9.1819,9.8882,9.71163,9.1819,10.45324,11.65395,8.4756
El Salvador,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands (Islas Malvinas),0,0,0,0,0,0,0,0,0,0,0,0
French Guiana,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,0,0,0,0,0,0,0,0,0,0,0,0
Guyana,0,0,0,0,0,0,0,0,0,0,0,0
Haiti,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica,0,0,0,0,0,0,0,0,0,0,0,0
Martinique,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua,0,0,0,0,0,0,0,0,0,0,0,0
Panama,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,0,0,0,0,0,0,0,0,0,0,0,0
Peru,12.0071,13.06655,15.5386,18.3638,30.3709,55.7977,62.8607,94.29105,128.89975,122.54305,255.32745,400.82525
Puerto Rico,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent/Grenadines,0,0,0,0,0,0,0,0,0,0,0,0
Suriname,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,493.35055,536.43485,610.9495,873.6931,991.99835,1069.3382,1286.8786,1377.63815,1387.8795,1437.3205,1499.4749,1433.789
Turks and Caicos Islands,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela,960.568,1119.83865,1003.29915,861.686,960.568,827.92486,918.19,732.04464,732.78625,650.82013,696.69432,733.45724
Virgin Islands  U.S.,0,0,0,0,0,0,0,0,0,0,0,0
Virgin Islands British,0,0,0,0,0,0,0,0,0,0,0,0
Albania,1.05945,1.05945,1.05945,1.05945,1.05945,1.05945,1.05945,0.35315,1.05945,1.05945,0.35315,0.35315
Austria,63.74358,61.16558,66.3922,73.84367,69.32335,57.81066,64.23798,68.86425,57.06904,62.11909,63.92015,62.71944
Belgium,0.07063,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,2.1189,0.14126,0.07063,0.07063,0.03532,0,0,10.5945,3.88465,0.35315,1.76575,14.55805
Croatia,58.6229,62.1544,54.73825,65.33275,57.9166,54.3851,55.7977,71.93666,71.86602,69.9237,66.88661,53.11376
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic,7.73399,5.6504,5.4032,5.93292,7.59273,7.09832,6.85111,7.09832,7.02769,6.28607,7.16895,6.49796
Denmark,289.22985,295.9397,296.01033,281.28398,333.02045,368.93581,367.77041,325.71025,356.15178,297.28167,290.2893,249.50048
Faroe Islands,0,0,0,0,0,0,0,0,0,0,0,0
Finland,0,0,0,0,0,0,0,0,0,0,0,0
Former Czechoslovakia,--,--,--,--,--,--,--,--,--,--,--,--
Former Serbia and Montenegro,19.17604,21.25963,21.189,11.65395,8.4756,8.82875,--,--,--,--,--,--
Former Yugoslavia,--,--,--,--,--,--,--,--,--,--,--,--
France,66.32157,67.45165,65.33275,56.85715,49.441,40.61225,43.43745,38.1402,32.4898,31.0772,26.48625,21.8953
Germany,778.66044,785.12308,787.87765,784.59336,726.04109,701.00275,692.49184,657.28278,568.3243,528.0652,460.57823,523.68614
Germany East,--,--,--,--,--,--,--,--,--,--,--,--
Germany West,--,--,--,--,--,--,--,--,--,--,--,--
Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0
Greece,1.27134,1.23603,1.30665,0.95351,0.88288,0.56504,0.81225,0.74162,0.49441,0.38847,0.24721,0.21189
Hungary,112.79611,114.10277,109.68839,104.00268,107.74607,106.93382,109.29993,92.34873,93.33755,104.81492,102.4135,97.68129
