Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bermuda,0.06306,0.06361,0.06418,0.06476,0.06534,0.06591,0.06644,0.06692,0.06739,0.06784,0.06827,0.06868
Canada,31.09956,31.37674,31.64096,31.88931,32.13476,32.38638,32.65668,32.93596,33.2127,33.48721,33.75974,34.03059
Greenland,0.05689,0.05713,0.05736,0.05754,0.0577,0.05778,0.05764,0.05753,0.05756,0.0576,0.05764,0.05767
Mexico,99.92662,101.24696,102.47993,103.71806,104.95959,106.2029,107.44953,108.70089,109.9554,111.21179,112.46886,113.72423
Saint Pierre and Miquelon,0.00641,0.00637,0.00633,0.00629,0.00625,0.0062,0.00615,0.0061,0.00605,0.006,0.00594,0.00589
United States,282.16241,284.96896,287.62519,290.10793,292.8053,295.5166,298.37991,301.23121,304.09397,306.77153,309.33022,311.59192
Antarctica,0.004490,0.004490,0.004490,0.004490,0.004490,0.004490,0.004490,0.004490,0.004490,0.004490,0.004490,0.004490
Antigua and Barbuda,0.07535,0.07673,0.07794,0.07907,0.08019,0.08128,0.08234,0.08343,0.08452,0.08563,0.08675,0.08788
Argentina,37.33565,37.69417,37.99945,38.33688,38.74183,39.18126,39.61443,40.04882,40.482,40.91358,41.3432,41.76973
Aruba,0.09,0.09097,0.09217,0.09372,0.09546,0.09698,0.0985,0.10002,0.10154,0.10307,0.10459,0.10611
Bahamas The,0.28259,0.28569,0.28858,0.29135,0.29406,0.29671,0.29929,0.30197,0.30473,0.30755,0.31043,0.31331
Barbados,0.27368,0.27491,0.27622,0.27755,0.27882,0.28004,0.28121,0.28236,0.2835,0.28459,0.28565,0.28671
Belize,0.248,0.25464,0.2613,0.26796,0.27462,0.28129,0.28795,0.29461,0.30127,0.3079,0.31452,0.32112
Bolivia,8.1951,8.36745,8.54249,8.71906,8.89597,9.07294,9.24971,9.42594,9.60126,9.77525,9.94742,10.11868
Brazil,174.31539,176.78996,179.20483,181.55317,183.82754,186.02,188.13106,190.16742,192.13027,194.01906,195.83419,197.5955
Cayman Islands,0.03844,0.03962,0.0408,0.04199,0.04316,0.04434,0.04552,0.04669,0.04786,0.04904,0.05021,0.05138
Chile,15.17457,15.34773,15.51481,15.67516,15.82868,15.97915,16.13039,16.28304,16.44103,16.60195,16.7599,16.91502
Colombia,38.91035,39.31245,39.80495,40.35102,40.92215,41.48778,42.04625,42.59732,43.14111,43.67737,44.20529,44.72554
Costa Rica,3.88258,3.95621,4.02095,4.08382,4.1467,4.20869,4.26977,4.33113,4.39324,4.45505,4.51622,4.57656
