Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bermuda,0.52154,0.51983,0.52142,0.56133,0.60643,0.64892,0.64298,0.7509,0.75025,0.71151,0.69942,0.77688
Canada,573.27294,561.87924,567.56001,597.00393,611.56609,623.75023,598.27896,593.08964,578.24831,549.6838,546.652,552.55652
Greenland,0.56108,0.57697,0.58335,0.58648,0.59469,0.60237,0.61509,0.59981,0.6417,0.64787,0.64841,0.61108
Mexico,382.8967,379.55289,379.07998,387.95956,378.02696,397.80578,436.95375,444.27026,452.79369,421.12377,432.21004,462.29292
Saint Pierre and Miquelon,0.07628,0.06993,0.06993,0.07628,0.08263,0.08264,0.08581,0.08914,0.09159,0.08899,0.08899,0.09143
United States,5863.26039,5754.55339,5799.08834,5853.03341,5974.22721,5999.24483,5924.2944,6026.28366,5844.58234,5435.27927,5636.73918,5490.63123
Antarctica,0.22887,0.23204,0.23204,0.2384,0.2384,0.2543,0.2543,0.24476,0.26439,0.24476,0.07208,0.13689
Antigua and Barbuda,0.51092,0.51252,0.51417,0.54611,0.59272,0.64686,0.65485,0.631,0.65897,0.66632,0.66584,0.73159
Argentina,138.37738,128.3394,121.1751,134.1638,140.8498,151.86401,157.28161,168.93684,171.47596,170.49399,174.39296,190.60526
Aruba,0.95775,0.95768,0.9577,1.01689,1.02815,1.04849,1.13017,1.04743,1.07222,1.03984,1.03984,1.23696
Bahamas The,3.50107,3.42356,3.42089,4.18647,4.25074,4.91423,4.9047,4.66166,5.07692,3.60306,3.60306,4.73401
Barbados,1.7058,1.64932,1.64973,1.68089,1.15756,1.52851,1.48817,1.3733,1.49191,1.51017,1.40965,1.44169
Belize,0.65973,0.86332,0.80791,0.84879,0.90596,0.96631,0.96806,1.0286,1.03903,0.46869,0.46837,0.5363
Bolivia,9.25638,8.03854,9.36866,11.69947,11.73129,11.56087,12.80602,12.96387,14.00281,13.00468,13.25838,13.97625
Brazil,344.43385,348.51074,346.62242,345.79962,355.72934,370.75669,383.84982,401.17222,427.40226,406.96665,450.95104,475.40926
Cayman Islands,0.34331,0.34648,0.34654,0.35924,0.38617,0.40687,0.46243,0.52843,0.48557,0.55311,0.55628,0.59276
Chile,54.62238,54.07724,52.87728,56.77913,63.28417,67.05095,69.9084,61.01757,66.72527,73.85196,79.1952,80.09632
Colombia,57.6946,56.51785,55.40834,57.11188,55.83843,60.09254,61.06586,60.46089,63.13901,63.4801,65.9582,71.15371
Costa Rica,5.00516,5.22245,5.3884,5.95484,5.72251,5.65277,6.63534,7.22005,7.13781,6.92894,7.02554,6.80576
Cuba,32.86064,33.25693,34.11084,33.24364,33.14369,28.58831,25.21778,26.3714,29.10583,29.27082,28.33751,28.41043
Dominica,0.07958,0.10183,0.11139,0.12085,0.10804,0.0924,0.11758,0.12125,0.12709,0.12966,0.12966,0.14157
Dominican Republic,15.79765,16.58673,17.13948,19.54484,18.11529,17.43891,18.43152,19.15992,19.39686,18.20188,18.6675,20.63968
Ecuador,20.08079,21.52018,21.7254,22.42992,23.52884,24.65449,26.55117,26.51204,27.1163,30.4128,32.70106,29.13192
El Salvador,5.5092,5.7021,5.76625,6.07921,6.02339,6.21059,6.23474,6.32433,5.93183,5.93246,5.91636,6.71283
Falkland Islands (Islas Malvinas),0.0286,0.0286,0.03178,0.03177,0.03505,0.03813,0.04129,0.04768,0.04578,0.04764,0.04764,0.04574
French Guiana,0.9969,0.99689,1.02068,1.06565,1.0394,1.06083,1.11547,1.07343,1.05598,0.82375,0.98675,1.06401
Grenada,0.11806,0.20108,0.2335,0.23815,0.24205,0.2478,0.26042,0.26138,0.28688,0.27073,0.26951,0.26896
Guadeloupe,1.80679,1.83416,1.86624,1.93692,1.99515,2.07825,2.19169,2.47748,2.35198,2.12595,2.12595,2.46248
