Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bermuda,,0,0,0,0,0,0,0,0,0,0,0,0
Canada,,26303.35366,26724.4366,24696.1837,25075.37881,21481.84377,22965.55486,23934.48655,21152.25268,23538.75677,14616.64863,14732.39132,10760.76349
Greenland,,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,,3380.78894,4249.41029,6940.15232,8544.01535,5097.08773,8438.19346,8761.17069,6322.85796,5402.62639,6847.70147,8918.90042,8727.61633
Saint Pierre and Miquelon,,0,0,0,0,0,0,0,0,0,0,0,0
United States,,16534.40143,22312.81678,20117.1768,27802.65364,34153.49267,33989.62857,40313.55026,38806.43159,37810.66524,22985.20687,20566.66851,14505.37911
Antarctica,,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,,1079.12975,1068.67984,1111.12985,932.56643,1037.40727,1056.73078,1188.24755,1514.57581,1837.55304,1929.04488,1495.36252,2251.80165
Aruba,,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas The,,0,0,0,0,0,0,0,0,0,0,0,0
Barbados,,0,0,0,0,0,0,0,0,0,0,0,0
Belize,,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,,16364.91444,16102.56434,16640.49228,17222.51268,17776.9753,17021.34086,16423.8881,18122.43968,18976.29005,14218.05284,19522.35306,21827.42941
Cayman Islands,,0,0,0,0,0,0,0,0,0,0,0,0
Chile,,4883.39365,3164.26192,3400.63054,3536.21484,5477.08752,5093.78079,5854.37563,7459.34097,8339.21692,7357.95037,7966.4042,8232.57932
Colombia,,0,0,2.20462,1.10231,2.81089,0,0,0,0,0,0,0
Costa Rica,,0.49604,0.70857,31.40485,84.95514,67.30713,33.06934,67.17485,137.78892,133.99697,116.38203,103.90387,107.87219
Cuba,,45.08453,28.10894,60.29643,42.8248,41.68942,36.56367,40.78552,44.57747,39.40763,30.46789,26.49957,26.88537
Dominica,,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,,102.11812,223.31726,257.30152,1165.36357,856.6282,524.19314,892.79504,919.31665,957.51174,940.00703,897.95386,1089.05055
Ecuador,,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,,0.66139,1.10231,1.10231,1.10231,1.10231,1.10231,1.10231,0,0,0,0,0
Falkland Islands (Islas Malvinas),,0,0,0,0,0,0,0,0,0,0,0,0
French Guiana,,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe,,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,,237.32764,220.46227,429.73608,474.36867,407.4253,450.02964,295.91548,511.9134,525.42773,380.65016,629.12216,517.0171
Guyana,,0,0,0,0,0,0,0,0,0,0,0,0
Haiti,,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,,148.62464,135.70555,186.11425,185.93788,191.51558,201.72298,135.441,141.77929,227.64934,189.32198,196.89486,259.51716
Jamaica,,58.4225,58.64296,97.0034,93.69647,102.51496,66.57961,35.27396,39.68321,84.91104,36.49753,59.52481,61.79557
Martinique,,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat,,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles,,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua,,0,0,40.3005,40.78552,75.9713,71.81559,108.12572,72.3006,66.59063,74.72569,75.47526,75.47526
Panama,,66.13868,69.44562,49.60401,0,1.96211,1.96211,252.17577,246.41068,34.50235,69.02674,118.54256,87.44636
Paraguay,,0,0,0,0,0,0.33069,0.22046,0.36376,0.31967,0.18739,0.18739,1.23459
Peru,,915.79697,740.97149,1137.79476,1033.73657,1075.08427,1249.91085,1119.61765,1355.51228,1017.03655,840.6998,1068.39324,1033.4169
Puerto Rico,,176.36982,170.85826,485.017,1521.18968,1433.00477,1466.07411,1653.46704,1653.46704,1653.46704,1653.46704,1653.46704,1653.46704
Saint Kitts and Nevis,,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia,,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent/Grenadines,,0,0,0,0,0,0,0,0,0,0,0,0
Suriname,,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,,0,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands,,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay,,0.79366,1.59835,2.55736,1.92904,2.35895,3.04238,3.50535,4.29901,2.60145,3.00931,4.73994,2.84396
Venezuela,,0,0,0,0,0,0,104.90697,42.00909,0,0,27.55778,0
Virgin Islands  U.S.,,283.29402,0,0,0,0,0,0,0,0,0,0,0
Virgin Islands British,,0,0,0,0,0,0,0,0,0,0,0,0
Albania,,47.39939,70.54793,14.33005,9.9208,9.9208,14.33005,14.33005,14.33005,14.33005,233.69001,259.04317,24.25085
