Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0
Canada,48.51548,38.4016,36.53648,29.32463,33.00749,42.33204,41.54405,50.11806,55.73123,50.87045,43.76309,51.07677
Greenland,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,0.077,0.09865,0.2426,1.06993,1.20258,1.59728,1.14726,1.27764,1.28815,1.32014,1.3201,1.22376
Saint Pierre and Miquelon,0,0,0,0,0,0,0,0,0,0,0,0
United States,14.829,16.47329,15.79568,23.9747,22.89786,19.151,24.27134,20.14359,24.198,18.138,19.106,15.049
Antarctica,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,6.022,5.661,2.856,2.543,4.143,4.14,6.193,2.62849,2.975,2.445,1.701,NA
Aruba,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas The,0,0,0,0,0,0,0,0,0,0,0,0
Barbados,0,0,0,0,0,0,0,0,0,0,0,0
Belize,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,0.004,0.006,0.01,0.006,0.007,0.16,0.283,2.034,0.689,1.08,1.257,2.544
Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0
Chile,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,0.037,0.21,0.618,1.182,1.682,1.758,1.813,0.87669,1.473,1.077,0.798,NA
Costa Rica,0.497,0.379,0.478,0.273,0.44,0.07,0.06,0.03955,0.166,0.134,0.135,NA
Cuba,0,0,0,0,0,0,0,0,0,0,0,0
Dominica,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,0,0,0,0.067,0.035,0.016,0.00123,0.03853,0.038,0.021,0.01,NA
El Salvador,0.112,0.044,0.051,0.103,0.084,0.038,0.009,0.007,0.089,0.079,0.089,NA
Falkland Islands (Islas Malvinas),0,0,0,0,0,0,0,0,0,0,0,0
French Guiana,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,0.827,0.336,0.44,0.428,0.464,0.339,0.09,0.13188,0.076,0.094,0.139,NA
Guyana,0,0,0,0,0,0,0,0,0,0,0,0
Haiti,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,0.005,0,0,0,0.01451,0.00193,0.0113,0,0.012,0.046,0.022,NA
Jamaica,0,0,0,0,0,0,0,0,0,0,0,0
Martinique,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua,0.001,0,0.007,0.021,0.022,0.008,0.009,0,0.00003,0.002,0.043,NA
Panama,0.018,0.118,0.049,0.179,0.129,0.10629,0.08207,0.12489,0.032,0.095,0.039,NA
Paraguay,47.358,39.137,41.777,45.18,45.005,43.792,45.707,45.12,46.3,45.042,43.378,46.12
Peru,0,0,0,0,0,0.008,0,0,0,0.063,0.112,NA
Puerto Rico,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent/Grenadines,0,0,0,0,0,0,0,0,0,0,0,0
Suriname,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,0,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay,0.942,1.377,2.288,1.139,0.1,0.841,0.016,0.995,0.028,0.265,0.711,0.019
Venezuela,0.059,0.211,0.421,0.451,0.484,0.584,0.549,0.54,0.569,0.633,0.626,NA
Virgin Islands  U.S.,0,0,0,0,0,0,0,0,0,0,0,0
Virgin Islands British,0,0,0,0,0,0,0,0,0,0,0,0
Albania,0.222,0.069,0.058,0.326,0.274,0,0,0,0,0.536,1.906,0.301
Austria,15.192,14.252,14.676,13.389,13.548,17.732,14.407,15.511,14.933,18.762,17.567,16.751
Belgium,7.319,6.712,9.07,8.254,6.79,8.024,8.696,9.037,6.561,11.321,11.844,10.652
