Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0
Canada,12.685,16.10561,15.23108,23.58451,22.48211,18.68,23.40539,19.55942,23.61416,17.51711,18.482,14.385
Greenland,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,2.145,0.36768,0.5646,0.39019,0.41575,0.47073,0.86595,0.58418,0.584,0.62087,0.6245,0.6528
Saint Pierre and Miquelon,0,0,0,0,0,0,0,0,0,0,0,0
United States,48.592,38.50025,36.77908,30.39455,34.21006,43.929,42.69131,51.3957,57.019,52.191,45.083,52.301
Antarctica,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,7.245,7.42,8.7,7.578,7.612,8.017,7.418,10.275,8.458,8.601,10.301,NA
Aruba,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas The,0,0,0,0,0,0,0,0,0,0,0,0
Barbados,0,0,0,0,0,0,0,0,0,0,0,0
Belize,0,0.159,0.181,0.189,0.236,0.254,0.21,0.225,0.248,0.216,0.16,0.171
Bolivia,0.016,0.01,0.009,0.009,0.005,0,0,0,0,0,0,0
Brazil,43,37.86,36.57,38.2,37.392,39.202,41.447,40.866,42.901,41.064,35.906,38.43
Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0
Chile,1.19,1.351,1.8,1.7,1.903,2.152,2.285,1.62766,1.154,1.348,0.958,0.734
Colombia,0.1,0.04,0.008,0.075,0.048,0.016,0.021,0.0394,0.077,0.021,0.01,NA
Costa Rica,0.022,0.13,0.035,0.1,0.202,0.081,0.14889,0.20322,0.096,0.151,0.164,NA
Cuba,0,0,0,0,0,0,0,0,0,0,0,0
Dominica,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,0.02,0.025,0.055,1.12,1.642,1.723,1.57,0.86099,0.5,1.12,0.873,NA
El Salvador,0.9,0.7,0.43,0.433,0.466,0.322,0.011,0.038,0.083,0.208,0.174,0.251
Falkland Islands (Islas Malvinas),0,0,0,0,0,0,0,0,0,0,0,0
French Guiana,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,0.123,0.095,0.055,0.031,0.041,0.023,0.008,0.00811,0.005,0.037,0.362,NA
Guyana,0,0,0,0,0,0,0,0,0,0,0,0
Haiti,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,0.315,0.31,0.4,0.331,0.408,0.058,0.019,0.0118,0,0.0001,0.022,NA
Jamaica,0,0,0,0,0,0,0,0,0,0,0,0
Martinique,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua,0.114,0.017,0.016,0.012,0.023,0.025,0.05332,0.06395,0.028,0.002,0.01,NA
Panama,0.2,0.045,0.035,0.002,0.078,0.055,0.03439,0.00874,0.105,0.06423,0.071,0.072
Paraguay,0,0,0,0,0,0.002,0.00063,0,0.00008,0,0,0
Peru,0,0,0,0,0,0,0,0,0,0,0,0
Puerto Rico,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent/Grenadines,0,0,0,0,0,0,0,0,0,0,0,0
Suriname,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,0,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay,1.328,0.335,0.529,0.434,2.348,1.585,2.835,0.789,0.963,1.468,0.387,0.477
Venezuela,0.014,0.182,0.561,0.038,0.001,0,0,0,0.102,0.26,0,NA
Virgin Islands  U.S.,0,0,0,0,0,0,0,0,0,0,0,0
Virgin Islands British,0,0,0,0,0,0,0,0,0,0,0,0
Albania,1.3,1.8,2.2,1.242,0.477,0.371,0.611,2.838,2.434,1.965,1.005,3.475
Austria,13.824,14.467,15.375,19.002,16.629,20.397,21.257,22.13,19.796,19.542,19.898,24.98
Belgium,11.645,15.818,16.658,14.664,14.567,14.328,18.853,15.816,17.158,9.486,12.395,13.189
Bosnia and Herzegovina,1.6,1.262,1.019,2.016,1.653,2.251,3.015,3.743,3.412,2.887,3.076,NA
Bulgaria,0.964,0.83,2.04,1.283,0.741,0.799,1.139,3.058,3.097,2.662,1.167,1.45
Croatia,4.386,3.744,3.927,4.499,5.339,8.802,8.374,7.926,8.249,7.651,6.784,8.944
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic,8.725,9.38,9.502,10.086,9.776,12.351,11.466,10.204,8.52,8.586,6.642,10.457
Denmark,8.417,8.199,8.939,7.023,8.673,12.943,6.767,10.427,12.815,11.208,10.599,11.693
Faroe Islands,0,0,0,0,0,0,0,0,0,0,0,0
Finland,12.206,11.769,13.464,11.882,11.667,17.948,14.118,15.419,16.107,15.46,15.719,17.656
Former Czechoslovakia,--,--,--,--,--,--,--,--,--,--,--,--
Former Serbia and Montenegro,4.4,3.6,4.713,4.576,5.975,6.751,--,--,--,--,--,--
Former Yugoslavia,--,--,--,--,--,--,--,--,--,--,--,--
France,3.695,4.5,3.705,6.959,6.571,8.062,8.522,10.782,10.748,18.517,19.435,9.501
Germany,45.134,45.779,48.37,49.107,48.187,56.861,48.464,45.953,41.67,41.859,42.962,51.005
Germany East,--,--,--,--,--,--,--,--,--,--,--,--
Germany West,--,--,--,--,--,--,--,--,--,--,--,--
Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0
Greece,1.729,3.562,4.602,4.169,4.854,5.616,6.14,6.412,7.575,7.601,8.517,7.18
Hungary,9.523,10.403,12.605,14.077,10.524,15.637,15.393,14.68,12.774,10.972,9.897,14.664
Iceland,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0.169,0.038,0.565,1.176,1.574,2.045,1.787,1.412,0.753,0.939,0.76,0.732
Italy,44.831,48.926,51.519,51.486,46.426,50.264,46.596,48.931,43.433,47.07,45.987,47.349
Luxembourg,6.457,6.39,6.377,6.481,6.506,6.392,6.824,6.847,6.83,6.022,7.28,7.096
Macedonia,0.12,0.352,0.791,0.953,1.176,1.599,1.795,2.491,2.733,1.438,1.42,NA
Malta,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro,--,--,--,--,--,--,1.728,2.167,1.571,1.151,0.732,NA
Netherlands,22.946,21.492,20.87,20.801,21.405,23.691,27.346,23.139,24.967,15.452,15.583,20.621
Norway,1.474,10.745,5.335,13.422,15.309,3.653,9.801,5.285,3.412,5.65,14.673,11.255
Poland,3.29,4.306,4.469,4.985,5.312,5.002,4.789,7.761,9.034,7.403,6.31,6.78
Portugal,4.698,3.741,5.329,5.898,8.612,9.626,8.624,9.641,10.744,7.598,5.814,6.742
Romania,0.8,0.7,0.436,0.962,2.6,2.321,0.989,1.269,0.921,0.651,0.767,0.776
Serbia,--,--,--,--,--,--,8.567,9.106,8.875,5.184,5.62,NA
Slovakia,5.951,6.065,6.71,8.623,8.731,8.005,8.59,13.58,9.412,8.994,7.334,11.227
Slovenia,4.3,5.674,3.784,5.975,6.314,7.234,7.071,6.14,6.218,6.156,8.014,7.029
Spain,12.268,10.177,12.504,9.52,8.111,10.212,9.093,8.773,5.881,6.751,5.206,7.932
Sweden,18.308,11.164,20.11,24.287,15.646,14.576,17.537,16.052,12.754,13.765,14.931,12.477
Switzerland,24.33,24.096,27.8,30.084,27.056,38.346,33.803,34.818,31.601,31.368,33.401,34.824
Turkey,3.791,4.579,3.588,1.158,0.463,0.636,0.573,0.864,0.789,0.812,1.144,4.747
United Kingdom,14.308,10.663,9.182,5.119,9.784,11.16,10.282,8.613,12.294,6.609,7.144,8.689
Armenia,0.4,0.33,0.3,0.307,0.26,0.3376,0.3549,0.4187,0.343,0.291,0.246,NA
Azerbaijan,0.9,1.2,2.4,2.5,2.373,2.082,1.766,0.548,0.216,0.11,0.1,NA
Belarus,10,7.32,8.4,9,7.975,9.091,10.149,9.406,7.085,8.404,7.767,NA
Estonia,0.3,0.1,0.412,0.093,0.347,0.345,0.251,0.345,1.369,3.025,1.1,1.69
Former U.S.S.R.,--,--,--,--,--,--,--,--,--,--,--,--
Georgia,0.45,0.8,0.605,1.071,1.281,1.468,0.756,0.43,0.558,0.255,0.232,NA
Kazakhstan,3.1,3.435,2.389,3.506,5.234,3.518,3.955,3.383,2.769,1.71,2.914,NA
Kyrgyzstan,0.35,0.322,0.385,0.108,0.054,0,0,0,0.01,0,0,NA
Latvia,2.2,2.3,2.7,2.671,2.733,2.855,2.81,4.964,4.643,4.259,3.973,4.009
Lithuania,0.2,0.2,4.53,4.144,4.293,5.641,5.812,5.846,5.649,4.783,8.174,8.086
Moldova,1.8,1.5,2.602,3.583,3.361,3.361,3.741,2.931,2.958,1.464,1.464,NA
Russia,8.8,9.8,10,8.24,12.179,10.139,5.115,5.67,3.105,3.0659,1.9,1.2
Tajikistan,5.3,5.242,5.2,4.605,4.81,4.508,4.84,4.361,5.297,4.304,0.339,0.066
Turkmenistan,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,2.7,2.137,5.461,7.236,2.203,1.715,2.082,3.383,2.101,1.374,1.909,NA
Uzbekistan,14.026,13.453,11.444,11.465,11.604,11.419,11.818,11.361,11.464,11.592,12,NA
Bahrain,0,0,0,0,0,0,0.003,0.013,0.085,0.168,0.192,NA
Iran,0.138,0.745,0.977,1.489,2.17,2.084,2.54,1.842,1.684,2.068,3.015,NA
Iraq,0,0,0,0,1.318,1.241,2.688,2.196,2.973,5.585,6.153,NA
Israel,0,0,0,0,0,0,0,0,0,0,0,0
Jordan,0.425,0.3,0.322,0.972,0.788,0.741,0.472,0.208,0.547,0.383,1.949,NA
Kuwait,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon,1.4,1.1,0.9,0.532,0.216,0.455,0.929,0.972,0.561,1.155,1.245,NA
Oman,0,0,0,0,0,0,0,0,0,0,0,0
Palestinian Territories,2.263,2.083,2.307,2.315,2.598,2.862,3.096,3.188,3.864,3.983,4.159,NA
Qatar,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,0,0,0,0,0,0,0,0,0,0,0,0
Syria,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0
Yemen,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,0.25,0.15,0.237,0.223,0.211,0.359,0.382,0.279,0.274,0.33,0.736,NA
Angola,0,0,0,0,0,0,0,0,0,0,0,0
Benin,0.37,0.42,0.437,0.52,0.578,0.595,0.59,0.579,0.662,0.866,0.935,NA
Botswana,0.986,1.183,1.473,1.874,1.91,2.013,2.05,2.394,2.585,2.749,2.985,NA
Burkina Faso,0,0.066,0.11,0.069,0.096,0.125,0.139,0.124,0.13572,0.1446,0.15,NA
Burundi,0.03,0.035,0.035,0.052,0.063,0.071,0.075,0.077,0.076,0.08,0.08,NA
Cameroon,0,0,0,0,0,0,0,0,0,0,0,0
Cape Verde,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0
Chad,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Brazzaville),0.26,0.25,0.4,0.359,0.404,0.418,0.411,0.449,0.436,0.44,0.495,NA
Congo (Kinshasa),0.053,0.012,0.02,0.003,0.001,0.071,0.014,0.076,0.083,0.105,0.161,NA
Cote dIvoire (IvoryCoast),0,0,0,0,0,0,0,0,0,0,0,0
Djibouti,0,0,0,0,0,0,0,0,0,0,0,0
Egypt,0.174,0.214,0.228,0.153,0.174,0.168,0.208,0.251,0.126,0.183,0.156,NA
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,0,0,0,0,0,0,0,0,0,0,0,0
Gambia The,0,0,0,0,0,0,0,0,0,0,0,0
Ghana,0.6,0.45,1.046,0.945,0.878,0.815,0.629,0.435,0.275,0.198,0.106,NA
Guinea,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,0.21,0.2,0.238,0.171,0.099,0.015,0.014,0.026,0.03,0.038,0.031,NA
Lesotho,0.012,0.04,0.016,0.038,0.025,0.013,0.04,0.05,0.05,0.107,0.121,0.247
Liberia,0,0,0,0,0,0,0,0,0,0,0,0
Libya,0,0,0,0,0,0.152,0.126,0.077,0.069,0.073,0.076,NA
Madagascar,0,0,0,0,0,0,0,0,0,0,0,0
Malawi,0,0,0,0,0,0,0,0,0,0,0,0
Mali,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,2,1.45,1.35,1.417,1.512,0.802,1.998,3.455,4.261,4.623,3.94,NA
Mozambique,1.3,3.899,5.225,7.363,9.267,9.588,9.839,8.278,7.776,7.869,7.928,NA
Namibia,0.64,0.865,1.3,1.38,1.566,1.703,1.948,2.045,2.147,2.202,2.462,NA
Niger,0.204,0.22,0.211,0.235,0.295,0.339,0.4,0.45,0.462,0.535,0.6,NA
Nigeria,0,0,0,0,0,0,0,0,0,0,0,0
Reunion,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda,0.094,0.122,0.136,0.121,0.116,0.089,0.064,0.084,0.084,0.062,0.062,NA
Saint Helena,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0,0,0
