Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bermuda,0.168,0.168,0.175,0.175,0.175,0.175,0.175,0.165,0.165,0.165,0.165,0.165
Canada,110.697,111.926,114.372,118.951,119.731,122.07,123.212,125.641,126.842,135.301,136.886,138.633
Greenland,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106
Mexico,40.251,42.422,45.697,49.693,52.255,52.492,55.347,57.834,58.239,59.628,62.225,61.512
Saint Pierre and Miquelon,0.027,0.027,0.027,0.027,0.026,0.026,0.026,0.0266,0.0266,0.0266,0.0266,0.0266
United States,811.71924,848.25389,905.30109,948.44647,962.94195,978.01921,986.21493,994.8893,1010.1725,1025.4006,1039.0616,1052.863
Antarctica,0,0,0,0,0,0,0,0,0.0006,0.001,0.001,0.0016
Antigua and Barbuda,0.027,0.027,0.027,0.027,0.027,0.055,0.055,0.055,0.055,0.055,0.055,0.055
Argentina,25.87315,27.454,27.74,28.471,28.16603,28.20103,28.26003,29.02903,30.90303,31.98603,32.78703,32.87703
Aruba,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.236,0.266,0.32,0.32
Bahamas The,0.401,0.401,0.401,0.401,0.455,0.493,0.493,0.493,0.493,0.493,0.493,0.493
Barbados,0.186,0.19,0.2095,0.2095,0.2095,0.2391,0.2391,0.2391,0.2391,0.2391,0.239,0.239
Belize,0.06611,0.06611,0.06611,0.08841,0.08271,0.08741,0.08081,0.08011,0.08111,0.14711,0.17811,0.18661
Bolivia,1.3349,1.2373,1.3959,1.32259,1.43019,1.38879,1.413,1.509,1.464,1.5391,1.65521,1.4688
Brazil,73.70205,76.24505,82.37405,86.42805,90.6558,93.25328,96.77418,100.23528,103.54168,105.40908,113.60708,119.074
Cayman Islands,0.094,0.115,0.115,0.115,0.1274,0.11463,0.11463,0.124,0.1366,0.1526,0.151,0.15123
Chile,9.894,10.493,10.542,10.993,11.87,12.586,12.865,13.18,14.019,15.626,16.206,17.949
Colombia,12.745,13.4926,13.81849,13.221,13.435,13.368,13.393,13.42,13.4095,13.5445,13.5445,14.4655
Costa Rica,1.70761,1.69638,1.78518,1.91789,1.92889,2.01735,2.151,2.146,2.413,2.49,2.8004,2.944
Cuba,4.48642,4.41093,3.95913,3.96023,3.94743,4.27483,5.17553,5.43203,5.39623,5.52223,5.85523,6.24073
Dominica,0.0206,0.022,0.021,0.022,0.0216,0.023,0.023,0.025,0.0232,0.0252,0.098,0.098
Dominican Republic,2.5415,2.8765,2.938,3.361,3.262,3.17661,3.206,3.206,2.9582,2.9812,3.0082,3.0396
Ecuador,3.39154,3.25071,3.40663,3.30158,3.30101,3.57738,4.09702,4.58902,4.28902,4.93902,5.24252,5.33552
El Salvador,1.1478,1.1591,1.0857,1.1358,1.1259,1.2658,1.2602,1.3894,1.4524,1.5014,1.4914,1.5074
Falkland Islands (Islas Malvinas),0.00901,0.00901,0.00901,0.00901,0.00901,0.00901,0.00901,0.01,0.01,0.01,0.01,0.01
French Guiana,0.17,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.1419,0.1419,0.1419,0.1419
Grenada,0.04311,0.04245,0.032,0.032,0.032,0.032,0.032,0.0322,0.0502,0.0482,0.0487,0.0507
Guadeloupe,0.4255,0.4275,0.4325,0.4525,0.4092,0.4095,0.4135,0.4135,0.4135,0.4135,0.4025,0.404
Guatemala,1.6937,1.6974,1.7294,2.0091,1.8331,2.0906,2.113,2.133,2.283,2.673,2.745,2.813
Guyana,0.30538,0.3054,0.3125,0.3125,0.308,0.308,0.3225,0.3225,0.2785,0.3565,0.3625,0.3635
Haiti,0.23951,0.244,0.244,0.244,0.244,0.244,0.244,0.244,0.244,0.24,0.2678,0.2678
Honduras,0.913,0.9246,1.0621,1.0623,1.309,1.5868,1.6078,1.6668,1.6748,1.6974,1.7014,1.81453
Jamaica,1.399,1.3991,1.10822,1.1486,1.1696,1.16759,1.168,1.168,1.169,1.1727,0.9047,0.9227
Martinique,0.396,0.396,0.396,0.396,0.3971,0.3971,0.3971,0.3971,0.3971,0.3971,0.3971,0.3971
Montserrat,0.001,0.001,0.001,0.002,0.004,0.006,0.01,0.01,0.01,0.01,0.01,0.01
Netherlands Antilles,0.242,0.242,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.259,0.2593,0.263
Nicaragua,0.67122,0.6673,0.7146,0.7551,0.87771,0.89763,0.89063,0.963,1.018,1.104,1.195,1.2275
Panama,1.2481,1.2597,1.196,1.324,1.5837,1.6226,1.468,1.51,1.658,1.819,1.976,2.391
Paraguay,7.4285,7.4161,7.4161,7.4161,7.4161,7.4161,8.116,8.136,8.136,8.816,8.816,8.816
Peru,6.06628,5.90583,5.9356,5.97014,6.0164,6.23923,6.65773,7.02773,7.15773,7.98173,8.61273,8.55673
Puerto Rico,4.9028,4.9028,5.358,5.358,5.35743,5.402,5.493,5.515,5.515,5.571,5.571,5.571
Saint Kitts and Nevis,0.02,0.044,0.044,0.044,0.044,0.044,0.051,0.051,0.044,0.044,0.044,0.0462
Saint Lucia,0.0664,0.0664,0.0664,0.0568,0.0568,0.0658,0.0658,0.076,0.076,0.076,0.076,0.076
Saint Vincent/Grenadines,0.027,0.027,0.031,0.029,0.032,0.037,0.04,0.045,0.048,0.047,0.047,0.047
Suriname,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.41,0.412
Trinidad and Tobago,1.422,1.4217,1.485,1.485,1.485,1.485,1.359,1.43,1.43,1.429,1.605,2.104
Turks and Caicos Islands,0.012,0.015,0.02,0.025,0.03,0.035,0.04,0.05,0.05,0.05,0.048,0.048
Uruguay,2.178,2.168,2.172,2.171,2.169,2.047,2.24645,2.40645,2.516,2.516,2.672,2.707
Venezuela,21.233,21.318,20.577,20.577,22.124,22.135,22.215,22.54,23.124,24.846,23.776,24.639
Virgin Islands  U.S.,0.323,0.323,0.323,0.323,0.323,0.323,0.323,0.323,0.323,0.323,0.323,0.323
Virgin Islands British,0.01,0.01,0.01,0.01,0.039,0.042,0.042,0.042,0.042,0.044,0.044,0.044
Albania,1.684,1.669,1.669,1.779,1.669,1.592,1.592,1.592,1.61,1.61,1.621,1.643
Austria,17.806,18.111,17.87,18.149,18.649,18.253,18.169,19.15,21.392,21.471,22.344,22.3642
Belgium,15.685,15.533,15.552,15.615,15.648,16.096,16.26,16.38,16.76,17.488,18.321,20.7876
Bosnia and Herzegovina,3.94,3.95,4.337,4.337,4.337,4.31,4.598,4.598,4.304,4.304,4.304,4.304
Bulgaria,12.019,11.844,12.95,12.125,12.325,12.489,12.243,9.72,9.658,9.458,10.009,10.2942
Croatia,3.407,3.595,3.795,3.805,4,3.871,3.884,3.911,3.913,4.021,4.132,4.171
Cyprus,0.737,0.988,0.989,0.995,0.995,1.125,1.135,1.141,1.12,1.392,1.527,1.1101
Czech Republic,16.174,16.261,17.058,17.073,17.222,17.025,17.259,17.416,17.583,18.166,18.081,19.9764
Denmark,12.318,12.487,12.641,12.914,12.987,13.037,12.976,13,13.039,13.411,13.435,13.5108
Faroe Islands,0.08715,0.09615,0.09615,0.0981,0.0975,0.0991,0.0991,0.0991,0.1001,0.1001,0.1001,0.1001
Finland,16.261,16.506,16.569,16.556,16.567,16.468,16.562,16.703,16.668,16.343,16.693,16.7322
Former Czechoslovakia,--,--,--,--,--,--,--,--,--,--,--,--
Former Serbia and Montenegro,9.644,9.644,9.315,9.315,9.225,8.732,--,--,--,--,--,--
Former Yugoslavia,--,--,--,--,--,--,--,--,--,--,--,--
France,115.047,116.295,116.997,116.66,116.877,115.787,115.716,116.55,117.7475,119.1095,124.3905,130.3876
Germany,117.268,119.005,124.135,124.2612,124.6642,124.992,131.715,134.296,139.276,146.871,153.247,159.507
Germany East,--,--,--,--,--,--,--,--,--,--,--,--
Germany West,--,--,--,--,--,--,--,--,--,--,--,--
Gibraltar,0.035,0.035,0.035,0.035,0.038,0.038,0.038,0.038,0.043,0.043,0.043,0.043
Greece,10.904,10.992,11.576,12.08,12.431,13.306,13.57,13.686,14.253,14.363,15.117,16.5343
Hungary,8.16,8.282,8.403,8.2,8.522,8.475,8.509,8.546,8.617,8.813,8.882,9.5307
Iceland,1.383,1.46,1.506,1.507,1.508,1.537,1.725,2.363,2.574,2.571,2.579,2.669
Ireland,4.707,4.717,5.432,5.641,5.8,6.152,6.443,7.283,7.232,7.43061,8.34661,8.5717
Italy,75.352,76.001,76.415,78.128,81.336,85.265,89.181,93.285,98.311,101.134,106.188,118.22
Luxembourg,1.227,1.239,1.634,1.655,1.682,1.683,1.684,1.685,1.699,1.703,1.723,1.7397
Macedonia,1.444,1.446,1.446,1.458,1.526,1.55,1.557,1.558,1.564,1.576,1.845,1.845
Malta,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.5715,0.5726,0.5776
Montenegro,--,--,--,--,--,--,0.868,0.868,0.868,0.868,0.868,0.868
Netherlands,21.016,20.336,20.818,20.86,21.762,21.729,22.877,23.702,24.775,25.897,26.583,27.907
