Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bermuda,0.55335,0.59862,0.59799,0.58032,0.58326,0.60677,0.61975,0.62826,0.63705,0.64516,0.63836,0.63836
Canada,505.22352,505.60205,513.18264,528.23005,534.06312,541.78894,529.26766,536.61416,529.06819,493.36662,499.91873,499.91873
Greenland,0.2604,0.24831,0.27156,0.27063,0.27435,0.279,0.28365,0.30225,0.28861,0.279,0.279,0.279
Mexico,167.70656,171.35961,174.14457,172.76328,184.8968,192.76398,196.82621,202.68293,206.68323,204.25045,212.31195,212.31195
Saint Pierre and Miquelon,0.03813,0.0372,0.04371,0.04557,0.04557,0.04743,0.04743,0.04836,0.04836,0.04836,0.04929,0.04929
United States,3592.35688,3557.10672,3631.65031,3662.02901,3715.94949,3810.9837,3816.84545,3890.23114,3865.15789,3723.80388,3886.40235,3886.40235
Antarctica,0,0,0,0,0,0.00186,0.00186,0.00186,0.00186,0.00372,0.00372,0.00372
Antigua and Barbuda,0.093,0.08742,0.09207,0.09486,0.09672,0.09951,0.10137,0.10323,0.10323,0.10416,0.10695,0.10695
Argentina,73.23106,75.3974,72.47354,79.1129,83.65771,88.61702,97.74909,100.33131,105.16732,104.44095,111.0786,111.0786
Aruba,0.6789,0.7068,0.72075,0.73563,0.75609,0.79515,0.79422,0.8184,0.79887,0.83607,0.9114,0.9114
Bahamas The,1.45545,1.51218,1.59588,1.6833,1.66907,1.76179,1.79265,1.90205,1.9065,1.80846,1.7949,1.7949
Barbados,0.703,0.735,0.771,0.81,0.836,0.891,0.9134,0.9379,0.968,0.978,0.986,0.986
Belize,0.18993,0.29697,0.31996,0.34827,0.3703,0.39036,0.4001,0.42171,0.44668,0.61823,0.62723,0.62723
Bolivia,3.39614,3.37718,3.48538,3.60254,3.76486,4.1745,4.5203,4.88993,4.9573,5.20946,5.82648,5.82648
Brazil,321.99852,304.48298,318.97716,336.86862,353.29366,368.67928,383.30928,404.87958,420.36354,418.84974,455.75242,455.75242
Cayman Islands,0.37022,0.39498,0.41673,0.43059,0.45164,0.36642,0.45198,0.50778,0.53754,0.55558,0.55196,0.55196
Chile,38.14374,39.37382,41.3827,44.06254,47.22554,48.37876,50.92482,53.01022,53.5916,53.45744,53.93444,53.93444
Colombia,32.5797,33.87112,34.72002,35.40868,37.43262,37.77908,40.48212,42.20351,42.75746,46.3836,45.34982,45.34982
Costa Rica,5.90046,6.129,6.26068,6.58258,6.84404,7.34274,7.80891,8.18535,8.31438,8.24194,8.53154,8.53154
Cuba,11.82116,12.06946,12.39386,12.50338,12.3374,12.11686,12.86146,13.63007,13.86138,13.97112,13.63572,13.63572
Dominica,0.06882,0.07254,0.06603,0.07068,0.07068,0.07347,0.07533,0.07626,0.07719,0.07952,0.09347,0.09347
Dominican Republic,5.78666,8.49562,10.43488,11.21838,9.8315,11.1784,11.49394,12.33374,12.63546,12.28284,13.1138,13.1138
Ecuador,7.81482,8.04726,8.26422,8.60972,10.44844,10.45088,12.30491,13.28958,15.51258,16.08674,14.66108,14.66108
El Salvador,4.062,3.927,3.803,4.01,4.0046,4.4504,4.895,5.287,5.252,5.256,5.388,5.388
Falkland Islands (Islas Malvinas),0.01321,0.01414,0.01414,0.01418,0.01418,0.01418,0.01516,0.01516,0.01674,0.01767,0.01767,0.01767
French Guiana,0.39804,0.54405,0.56358,0.58683,0.60915,0.63333,0.65658,0.68169,0.71703,0.73656,0.75795,0.75795
Grenada,0.114,0.124,0.12902,0.13821,0.13,0.12531,0.14416,0.16467,0.17283,0.17739,0.1784,0.1784
Guadeloupe,1.11321,1.11786,1.0695,1.15785,1.37547,1.39965,1.45638,1.52427,1.52334,1.52334,1.5345,1.5345
Guatemala,3.82958,4.24018,4.38308,5.40627,5.75053,5.88227,6.90318,7.18393,7.18275,7.437,7.95462,7.95462
Guyana,0.667,0.692,0.683,0.626,0.643,0.402,0.435,0.477,0.46,0.464,0.512,0.512
Haiti,0.28416,0.28134,0.24778,0.2362,0.23578,0.32254,0.33006,0.22116,0.2087,0.31916,0.2174,0.2174
Honduras,3.13854,3.20974,3.4121,3.65646,3.94631,4.03595,4.2145,4.69956,4.91306,4.78726,4.85026,4.85026
Jamaica,5.59972,5.70034,5.90646,6.10512,6.0641,6.13496,6.0981,6.37402,4.99862,4.81476,3.0655,3.0655
Martinique,0.97464,1.11879,1.14762,1.19598,1.23318,1.29177,1.3299,1.37268,1.41081,1.44894,1.48986,1.48986
Montserrat,0.01023,0.01023,0.01767,0.0186,0.0186,0.0186,0.0186,0.01953,0.02046,0.02046,0.02232,0.02232
Netherlands Antilles,0.94,0.896,0.849,0.951,0.973,1.003,0.98,1.00964,0.99848,1.07212,1.06566,1.06566
Nicaragua,1.558,1.612,1.938,1.805,2.011,2.24243,2.37639,2.28227,2.40142,2.43584,2.4277,2.4277
Panama,3.782,3.754,3.953,4.177,4.579,4.68371,4.82532,5.17545,5.47072,5.83637,6.2085,6.2085
Paraguay,4.183,4.284,4.406,4.20633,4.21,4.499,4.88263,5.352,5.69808,6.237,6.778,6.778
Peru,17.25005,18.18605,19.30205,20.17105,21.48805,22.95105,24.17505,26.60005,29.39505,29.24105,29.58305,29.58305
Puerto Rico,20.28609,20.74086,21.55275,22.26141,22.44555,23.21492,22.16841,20.74365,19.45653,19.25937,19.42584,19.42584
Saint Kitts and Nevis,0.08742,0.08742,0.09579,0.11067,0.11346,0.11625,0.11811,0.11997,0.12183,0.12369,0.12555,0.12555
