Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0
Canada,311.3494,405.90101,434.79578,441.97778,456.47396,455.08249,433.12299,450.78773,381.69183,962.92181,1073.21523,1073.21523
Greenland,0.1491,0.14951,0.14951,0.14951,0.1491,0.14951,0.14951,1.05008,1.03441,0.92867,0.91973,0.91973
Mexico,88.97612,96.21151,111.00967,100.39896,89.72686,86.64115,130.06488,122.10682,72.79945,241.89233,189.14679,189.14679
Saint Pierre and Miquelon,0,0,0,0,0,0,0,0,0,0,0,0
United States,937.58233,912.18356,908.70411,952.6411,956.35246,1062.60822,1200.8,1304.23836,1188.99727,1980.32603,2310.91781,2310.91781
Antarctica,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,0.1573,0.15773,0.15773,0.13436,0.17768,0.15773,0.21904,0.23948,0.23948,0.23948,0.23948,0.23948
Argentina,150.2076,216.42255,163.93658,183.7349,182.27077,185.10885,206.71348,146.05737,66.70315,115.81216,94.49605,94.49605
Aruba,224.64481,225.26027,231.26027,231.26027,230.64481,233.28068,231.09255,206.4274,205.40548,234.2274,234.2274,234.2274
Bahamas The,38.52978,38.63534,40.46,38.76745,41.2906,38.73753,41.56575,41.60663,41.60663,41.76866,41.76866,41.76866
Barbados,0,0,0,0,0,0,0,0,0,0,0,0
Belize,0.34863,0,0,0,0,0,0,0,0,0,0,0
Bolivia,0,0,0.47671,0.57205,0.09508,0.12712,1.07501,0,0.86468,6.8154,6.91545,6.91545
Brazil,148.64923,207.83871,204.62567,232.94958,238.95314,211.5021,208.41668,194.04375,164.27896,240.80355,158.37345,158.37345
Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0
Chile,18.81686,28.72737,20.44701,34.83553,31.50653,32.49893,49.25066,52.38848,27.28704,23.54263,13.03942,13.03942
Colombia,73.87057,85.41378,78.72104,80.0497,76.33669,83.98638,77.47797,52.67518,52.67518,78.98488,92.40762,92.40762
Costa Rica,3.45153,3.53978,3.52515,1.92132,2.99756,2.11489,2.1166,2.08707,0.73712,1.28203,1.89775,1.89775
Cuba,6.59044,2.46712,0,0,0,0,0,6.88173,0,14.43005,11.31764,11.31764
Dominica,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,43.45216,44.80468,41.41063,43.55688,41.53735,38.0323,37.2886,39.49211,42.22929,33.80315,28.61332,28.61332
El Salvador,5.36036,5.84277,6.37041,3.44112,5.19352,5.29855,1.92688,3.82515,2.15767,1.9966,2.4246,2.4246
Falkland Islands (Islas Malvinas),0,0,0,0,0,0,0,0,0,0,0,0
French Guiana,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,0,0,0,0,0,0.04674,3.27449,3.29682,4.16181,4.48068,4.91137,4.91137
Guyana,0,0,0,0,0,0,0,0,0,0,0,0
Haiti,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,0.38686,0.48778,0.36784,0,0.76536,0.41786,0,5.11381,8.41901,9.67962,0,0
Jamaica,4.07377,1.5863,2.01375,2.42466,1.53082,1.53501,0,0,9.14477,0,0,0
Martinique,4.25787,4.28542,4.39258,4.6483,4.6356,4.82942,4.63132,4.61088,4.75735,3.35702,3.35702,3.35702
Montserrat,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles,208.20795,229.53477,215.0149,206.83184,217.80943,206.87764,224.6137,211.05715,197.15805,180.21537,77.14173,77.14173
Nicaragua,1.13923,1.07756,0.8937,1.0637,1.39667,0.80849,0.21247,0.74214,0.99962,0.48882,0.51852,0.51852
Panama,4.40814,4.90907,9.59995,4.05425,4.13956,4.4474,4.80312,0,0,0,0,0
Paraguay,0,0,0.09348,0,0,0,0,0,0,0,0,0
Peru,27.20445,39.56852,35.03296,37.9577,36.36017,41.35479,55.54385,51.27518,60.72449,70.2926,80.55877,80.55877
Puerto Rico,9.81038,7.90035,12.9935,19.16609,10.58407,10.61307,16.51809,19.23347,8.44,8.79533,0,0
Saint Kitts and Nevis,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent/Grenadines,0,0,0,0,0,0,0,0,0,0,0,0
Suriname,1.42896,0.9589,0.9589,1.02181,0.98262,1.01644,1.0583,1.0583,1.0583,1.02181,1.01548,1.01548
Trinidad and Tobago,141.7553,148.21764,135.92556,142.26679,121.10937,124.8171,153.134,147.59906,148.56748,118.41441,106.54934,106.54934
Turks and Caicos Islands,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay,3.05639,10.71926,1.48647,3.33915,9.14363,8.50288,7.09964,4.36863,6.09302,3.45641,4.65619,4.65619
Venezuela,793.09413,718.89105,730.55742,503.26348,705.16746,713.88721,735.67967,600.82995,627.39808,669.67515,479.99411,479.99411
Virgin Islands  U.S.,375.81309,349.87325,352.69059,375.02105,397.43656,398.52543,387.97464,380.76925,390.04,346.55306,316.14573,316.14573
Virgin Islands British,0,0,0,0,0,0,0,0,0,0,0,0
Albania,0,0,2.87605,1.46849,1.23954,0.74893,0,1.00405,0.91447,0.51156,0.06756,0.06756
Austria,28.00284,32.93211,31.36986,30.15701,34.45489,45.8157,36.19734,45.33258,41.88301,46.03751,46.67915,46.67915
Belgium,413.00074,407.10504,420.83929,425.12548,461.67478,463.15912,440.63088,437.03518,394.36628,446.29893,442.79915,442.79915
Bosnia and Herzegovina,0,0,0,0,0,0,0.19178,0.09589,0,1.75167,10.45797,10.45797
