Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bermuda,,3.65773,3.63197,3.66775,3.9823,4.25041,4.37786,4.49951,4.80416,4.01941,4.57818,4.53796,4.53796
Canada,,165.48486,210.53792,183.87885,229.64449,254.17806,296.33882,295.04932,280.08074,247.11216,291.41485,249.51951,249.51951
Greenland,,3.80383,3.9223,3.96318,3.98362,4.0135,4.08874,4.17178,4.97589,5.37552,5.17096,5.16408,5.16408
Mexico,,433.53128,361.75126,330.20751,274.92241,302.23798,377.36096,401.76266,467.97115,515.35423,506.51088,607.39392,607.39392
Saint Pierre and Miquelon,,0.50087,0.45844,0.45844,0.49932,0.54164,0.55679,0.56356,0.584,0.584,0.584,0.584,0.584
United States,,1770.87725,1742.53699,1591.14247,1807.02192,2027.12842,2402.75068,2142.84658,1909.70137,1221.15574,2677.90411,2579.93699,2579.93699
Antarctica,,1.46754,1.492,1.492,1.53288,1.52869,1.63507,1.63507,1.57375,1.805,1.57375,0.52657,0.52657
Antigua and Barbuda,,3.65617,3.66745,3.68663,3.87463,4.21546,4.55638,4.69041,4.54847,4.66203,4.7997,4.79016,4.79016
Argentina,,24.72986,8.84838,8.93299,6.66608,11.28219,19.07849,30.23375,19.37545,37.2583,28.15978,76.55359,76.55359
Aruba,,6.15423,6.1711,6.1711,6.62293,6.70317,6.95485,6.87707,7.03353,6.64606,6.72515,6.72515,6.72515
Bahamas The,,60.75235,60.94745,62.71622,65.3646,68.24609,69.77855,72.42351,70.98921,61.87055,64.6017,64.6017,64.6017
Barbados,,10.58369,10.0194,10.4194,10.6194,7.07128,9.758,9.2662,8.68388,7.68609,9.30128,8.73589,8.73589
Belize,,5.05418,6.2617,6.0083,6.28537,6.75418,7.12225,7.20362,7.3257,3.55266,3.49537,3.49333,3.49333
Bolivia,,5.7071,4.909,4.92564,5.53879,3.87268,4.98696,6.17238,8.80893,10.28049,10.88679,14.69688,14.69688
Brazil,,369.9112,313.70292,340.05348,215.19111,224.95457,230.87795,272.88986,345.00383,325.39759,348.53174,457.40792,457.40792
Cayman Islands,,2.38661,2.41359,2.41359,2.50085,2.6982,2.81844,3.29373,3.70011,4.49118,3.73049,3.75386,3.75386
Chile,,45.4453,35.37671,48.00036,44.81647,53.2673,59.05915,85.44356,119.41499,165.88548,141.86493,154.14945,154.14945
Colombia,,5.68964,4.11937,6.32142,5.88408,2.86311,6.24184,8.51682,6.04468,6.04468,34.72584,49.79038,49.79038
Costa Rica,,38.1315,34.14912,34.15126,33.34104,33.18372,33.16715,34.50063,36.11386,39.20293,41.16036,40.2869,40.2869
Cuba,,118.60402,112.18647,125.44203,119.81663,51.98911,61.95799,59.52723,63.45022,23.80391,9.21586,4.87658,4.87658
Dominica,,0.58913,0.74847,0.81564,0.88282,0.77183,0.66956,0.83819,0.85863,0.91177,0.91586,0.91586,0.91586
Dominican Republic,,91.70049,90.05595,91.04575,83.64156,72.82918,73.46773,74.66345,81.33444,88.47507,86.8231,85.48874,85.48874
Ecuador,,24.7712,32.63586,37.76532,42.57992,44.67902,47.05781,54.19099,80.42584,76.56055,88.40014,103.57438,103.57438
El Salvador,,23.53609,24.35986,26.03636,26.38441,26.76145,27.57753,28.41362,29.57148,26.85562,27.85863,29.01644,29.01644
Falkland Islands (Islas Malvinas),,0.1871,0.18762,0.20805,0.20805,0.22787,0.24893,0.27085,0.31247,0.31247,0.31247,0.31247,0.31247
French Guiana,,6.3362,6.35356,6.52838,6.81129,6.61814,6.8934,6.95419,6.70907,6.20832,5.4562,6.49173,6.49173
Grenada,,1.46418,1.60636,1.7449,1.75915,1.77601,1.84367,1.92331,1.91332,1.97641,2.01202,2.00411,2.00411
Guadeloupe,,12.4268,12.65964,12.87597,13.39367,13.71986,14.41088,15.07622,16.6431,16.96504,14.67668,14.67668,14.67668
Guatemala,,42.01505,46.76622,53.74293,64.98263,67.565,70.63967,72.44197,78.5549,68.90625,80.84967,71.38501,71.38501
Guyana,,10.72268,11.09808,11.27318,11.07882,10.06902,10.96236,10.54776,10.47773,10.67795,10.80959,10.77719,10.77719
Haiti,,10.32929,11.23088,11.59627,11.54638,11.83667,11.97918,12.28175,13.48173,16.58803,15.42578,14.11079,14.11079
Honduras,,30.14708,33.39334,38.70658,41.86318,42.61913,44.03712,46.13151,53.62663,54.10044,53.43219,46.37079,46.37079
Jamaica,,54.14467,50.25208,44.70501,56.47567,56.36432,57.92389,57.22132,66.71874,68.40545,30.89603,32.91863,32.91863
Martinique,,1.48276,1.53997,1.636,1.602,1.66563,1.85589,2.36638,3.52458,1.45395,2.38407,2.38407,2.38407
Montserrat,,0.37063,0.37164,0.37164,0.41545,0.45801,0.48263,0.52058,0.56438,0.57256,0.56847,0.56847,0.56847
Netherlands Antilles,,42.13301,48.52953,47.13567,39.47874,39.76607,44.8663,41.28227,54.69551,69.38362,54.51805,62.0489,62.0489
Nicaragua,,7.52514,7.67723,9.46973,10.00348,11.19757,12.60323,12.84863,13.29121,14.17271,12.42151,12.32562,12.32562
