Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Bermuda,3.65773,3.63197,3.66775,3.9823,4.25041,4.50488,4.49951,4.80416,4.01941,4.57818,4.50146,4,4.14849
Canada,2013.9098,2043.1698,2065.0657,2190.7123,2281.9645,2314.9753,2228.8493,2283.3178,2224.9235,2162.9288,2264.5945,2266.0411,2286.5226
Greenland,3.65473,3.77279,3.81367,3.83411,3.8644,3.93923,4.02227,3.92581,4.3411,4.24229,4.24435,4,3.93073
Mexico,2095.9262,2068.7041,2019.1397,2015.6603,2069.2049,2116.6712,2122.9315,2172.8055,2161.1421,2070.7151,2080.4329,2113.3753,2144.1639
Saint Pierre and Miquelon,0.50087,0.45844,0.45844,0.49932,0.54164,0.55679,0.56356,0.584,0.584,0.584,0.584,0.6,0.98881
United States,19701.0762,19648.70493,19761.30367,20033.50685,20731.15027,20802.16152,20687.41802,20680.37798,19497.96415,18771.39998,19180.12601,18882.07246,18490.21355
Antarctica,1.46754,1.492,1.492,1.53288,1.52869,1.63507,1.63507,1.57375,1.805,1.57375,0.52657,1,0.7
Antigua and Barbuda,3.49888,3.50973,3.5289,3.74027,4.03779,4.39866,4.47137,4.30899,3.25978,4.56022,4.55068,4,4
Argentina,510.92666,474.39381,438.29599,449.99246,471.78796,483.01017,535.41874,586.96589,581.88449,588.62035,620.25792,678,698.75612
Aruba,6.51367,6.53151,6.53151,6.98335,7.0626,7.24591,7.74661,7.03353,6.64606,6.72515,6.72515,6,5.86591
Bahamas, The,22.22257,21.84008,22.25622,26.59715,26.95549,30.7343,30.85775,29.38258,20.26392,22.83304,22.83304,23,24.21692
Barbados,10.82079,10.37063,10.37063,10.57063,7.10299,9.83068,9.29823,8.30251,7.71863,9.30128,8.77669,9,8.15827
Belize,4.70555,6.2617,6.0083,6.28537,6.75418,7.12225,7.20362,7.3257,3.55266,3.49537,3.49333,3.5,5
Bolivia,48.10438,46.74128,46.72355,46.25618,49.6202,50.79877,58.051,59.6934,61.60638,50.5272,54.35348,57,62.37693
Brazil,2166.2849,2206.07876,2131.59593,2055.68281,2122.80671,2206.22366,2287.02865,2355.08244,2204.61323,2481.45419,2621.7818,2721.62284,2806.93648
Cayman Islands,2.38661,2.41359,2.41359,2.50085,2.6982,2.81844,3.19153,3.70011,4.49118,3.73049,3.75386,3.7,3.25615
Chile,239.6257,233.4411,239.6493,248.5014,263.4208,272.3452,278.674,351.6712,369.8798,367.611,322.863,333.9128,356.2443
Colombia,277.48742,271.18171,261.19847,265.35573,267.51582,270.70806,274.16409,279.89112,259.77826,257.49681,267.45179,282,287.16071
Costa Rica,36.28123,37.5861,39.66431,41.92412,41.56274,40.61221,45.72419,48.63008,49.63222,47.59215,48.66709,48,52.82493
Cuba,195.00103,203.59865,201.51358,204.84513,228.50067,198.03543,157.0871,161.31249,141.39659,169.55057,163.93917,184,170.90581
Dominica,0.58913,0.74847,0.81564,0.88282,0.77183,0.66956,0.83819,0.85863,0.91177,0.91586,0.91586,1,0.93697
Dominican Republic,110.06245,113.95028,116.15299,115.27981,114.07414,115.41066,116.72584,118.71721,122.29318,113.06019,112.9013,120,122.64666
Ecuador,130.53807,139.96972,141.72825,146.05752,151.89558,159.40565,173.53798,181.1829,219.78112,208.12754,226.42156,216,212.65692
El Salvador,38.06215,39.40596,39.01227,42.3555,41.9346,43.36019,44.26823,44.77912,41.89345,43.03511,43.18622,45,45.17948
Falkland Islands (Islas Malvinas),0.1871,0.18762,0.20805,0.20805,0.22787,0.24893,0.27085,0.31247,0.31247,0.31247,0.31247,0.3,0.3
French Guiana,6.3362,6.35356,6.52838,6.81129,6.61814,6.8934,6.95419,6.70907,6.20832,5.4562,6.49173,7,6.78165
Grenada,0.95656,1.60636,1.7449,1.75915,1.77601,1.8203,1.92331,1.91332,1.97641,2.01202,2.00411,2,3.16619
Guadeloupe,12.4268,12.65964,12.87597,13.39367,13.71986,14.41088,15.07622,16.6431,16.96504,14.67668,14.67668,15,15.95613
Guatemala,59.28765,65.9002,64.5576,64.98263,67.565,70.28645,70.53295,73.62677,66.62255,76.08702,70.83423,80,80.59101
Guyana,10.80984,11.09808,11.27318,11.07882,10.06902,10.98573,10.54776,10.47773,10.67795,10.80959,10.74539,11,10.87901
Haiti,10.32929,11.23088,11.59627,11.54638,11.83667,11.97918,12.28175,13.48173,16.58803,15.42578,14.11079,14,14.03093
Honduras,28.10656,33.00392,36.33874,36.53923,41.85377,44.09142,46.20162,50.93071,48.69175,43.75258,46.37079,48,64.43742
Jamaica,65.64429,66.20467,67.77564,70.43461,71.3326,68.97398,77.92538,82.44764,80.34852,58.05093,57.6127,60,78.79754
Martinique,13.34537,13.45738,13.66651,14.23659,14.67062,15.51688,15.4885,16.09932,14.33585,16.87007,16.88873,18,18.2938
Montserrat,0.37063,0.37164,0.37164,0.41545,0.45801,0.48263,0.52058,0.56438,0.57256,0.56847,0.56847,0.6,0.6
Netherlands Antilles,70.96349,71.86007,70.50978,65.75789,66.39284,69.94149,73.1393,75.62523,87.08532,79.04042,74.7952,74,72.10518
Nicaragua,24.01982,25.57661,25.4155,25.64036,27.17102,28.60345,28.25023,29.24792,28.01715,28.28525,28.19419,30,33.01153
Panama,77.38338,80.28356,76.59439,77.57036,88.02798,84.3049,86.35461,89.49351,52.01077,97.67033,108.59321,106,100.00679
Paraguay,25.09844,24.06136,25.05413,26.02275,26.09367,25.81028,25.98254,26.33079,28.10751,28.88402,31.22364,28,27.11851
Peru,156.795,153.87177,152.33588,154.22394,161.95668,157.73374,170.08984,165.72279,186.48542,188.23158,192.45697,182,171.7031
Puerto Rico,201.35484,213.86416,212.07521,217.80925,222.76292,215.2137,210.73122,169.64931,175.24,155.61563,176,152,152.64224
