Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bermuda,,0,0,0,0,0,0,0,0,0,0,0,0
Canada,,363.46,338.984,356.558,344.009,347.244,370.689,360.592,375.444,381.464,379.474,366.416,399.161
Greenland,,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,,40.401,36.319,32.605,28.444,34.075,37.783,39.176,37.041,48.59,36.512,47.327,44.286
Saint Pierre and Miquelon,,0,0,0,0,0,0,0,0,0,0,0,0
United States,,361.27249,299.63603,356.96492,369.33762,365.71703,370.47171,398.74631,364.97862,392.73567,429.65204,440.23135,524.46198
Antarctica,,0,0,0,0,0,0.002,0.002,0.002,0.002,0.004,0.004,0.004
Antigua and Barbuda,,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,,29.201,37.322,36.435,34.553,31.40807,35.03908,40.44109,32.8841,32.9351,36.3431,35.4761,NA
Aruba,,0,0,0,0,0,0,0,0,0,0.03,0.1,0.09
Bahamas The,,0,0,0,0,0,0,0,0,0,0,0,0
Barbados,,0,0,0,0,0,0,0,0,0,0,0,0
Belize,,0.13323,0.1316,0.12847,0.10138,0.10345,0.10881,0.21796,0.21763,0.24468,0.43823,0.51623,NA
Bolivia,,2.007,2.162,2.235,2.021,2.183,2.001,2.19528,2.35811,2.349,2.339,2.32,NA
Brazil,,309.2051,274.2121,293.5111,314.5151,330.1261,347.7662,360.2772,388.9452,386.3092,410.8282,432.9282,459.2842
Cayman Islands,,0,0,0,0,0,0,0,0,0,0,0,0
Chile,,20.494,22.868,23.993,23.271,23.797,28.015,30.276,25.604,27.072,29.396,24.079,24.537
Colombia,,32.249,31.976,34.119,36.307,40.195,39.957,42.908,44.582,46.53,41.239,40.373,48.23
Costa Rica,,6.793,6.784,7.304,7.138,7.901,7.902,8.084,8.251,8.721,8.787,8.87,NA
Cuba,,1.0331,1.0051,1.0451,0.8481,0.87682,0.4881,0.4996,0.53829,0.711,0.7044,0.5807,NA
Dominica,,0.032,0.027,0.03,0.029,0.034,0.027,0.027,0.021,0.02,0.0205,0.0305,NA
Dominican Republic,,0.792,0.734,0.91,1.238,1.67,1.913,1.779,1.739,1.413,1.4935,1.4595,1.656
Ecuador,,7.533,7,7.45,7.10862,7.33758,6.86404,7.73704,9.89704,11.70604,9.57504,9.03604,10.03004
El Salvador,,1.969,2.137,2.143,2.518,2.446,2.792,3.225,3.249,3.711,3.246,3.871,NA
Falkland Islands (Islas Malvinas),,0.0002,0.0002,0.0002,0.00025,0.00025,0.00025,0.0003,0.0003,0.002,0.002,0.002,0.002
French Guiana,,0,0.53,0.549,0.571,0.593,0.616,0.639,0.663,0.699,0.718,0.74,NA
Grenada,,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe,,0.05,0.05,0.06,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
Guatemala,,3.28278,2.964,2.7515,3.46249,4.68811,5.16901,4.85644,4.90572,5.17317,5.1989,5.87506,NA
Guyana,,0,0,0,0,0,0,0,0,0,0,0,NA
Haiti,,0.28,0.28,0.257,0.252,0.257,0.262,0.268,0.152,0.179,0.205,0.175,NA
Honduras,,2.238,1.894,1.61,1.76,1.461,1.86,2.191,2.337,2.465,2.91,3.075,NA
Jamaica,,0.217,0.144,0.124,0.147,0.201,0.236,0.256,0.247,0.233,0.236,0.267,NA
Martinique,,0,0,0,0,0,0.002,0.002,0.002,0.002,0.002,0.002,0.002
Montserrat,,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles,,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.06,0.06,0.06
Nicaragua,,0.375,0.435,0.606,0.695,0.703,0.9,0.806,0.786,1.05147,0.911,1.181,NA
Panama,,3.408,2.497,3.385,2.816,3.765,3.71,3.616,3.705,4.014,3.926,4.225,NA
Paraguay,,52.957,44.864,47.73,51.253,51.412,50.654,53.246,53.188,54.909,54.409,53.524,NA
Peru,,16.16505,17.60105,18.05405,18.55405,17.51105,18.26005,19.88205,19.80505,19.45505,19.91405,20.56805,22.11705
Puerto Rico,,0.152,0.133,0.114,0.103,0.141,0.13828,0.142,0.164,0.156,0.174,0.153,0.149
Saint Kitts and Nevis,,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia,,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent/Grenadines,,0.025,0.019,0.022,0.021,0.027,0.026,0.02296,0.02249,0.02344,0.023,0.026,NA
Suriname,,0.71,0.725,0.741,0.752,0.764,0.821,0.862,0.862,0.863,0.863,0.865,NA
Trinidad and Tobago,,0.02,0.029,0.026,0.012,0.023,0.022,0.026,0.019,0.02,0.019,0.02,0.02
Turks and Caicos Islands,,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay,,7.016,9.141,9.481,8.484,4.769,6.657,3.61,8.125,5.301,6.042,9.532,NA
Venezuela,,62.198,59.845,58.94,59.927,69.374,76.457,80.784,82.228,85.973,85.102,76.012,82.833
Virgin Islands  U.S.,,0,0,0,0,0,0,0,0,0,0,0,0
Virgin Islands British,,0,0,0,0,0,0,0,0,0,0,0,0
Albania,,4.548,3.519,3.477,5.117,5.411,5.319,4.951,2.76,3.759,5.179,7.48,3.881
Austria,,43.144,42.048,41.716,35.212,39.682,40.543,41.032,43.392,44.775,47.376,45.21,41.895
Belgium,,1.807,2.057,2.075,1.956,2.404,2.763,3.828,4.523,5.478,6.749,7.788,10.002
Bosnia and Herzegovina,,5.043,5.129,5.215,4.456,5.919,5.938,5.798,3.961,4.818,6.177,7.946,NA
Bulgaria,,2.661,1.72,2.183,3.005,3.156,4.316,4.223,2.898,2.934,3.683,5.737,NA
Croatia,,5.795,6.483,5.311,4.827,6.894,6.294,5.97,4.237,5.225,6.742,8.418,NA
Cyprus,,0,0,0,0,0,0.001,0.001,0.003,0.014,0.01,0.121,0.1276
Czech Republic,,2.4634,2.746,3.158,1.87,2.729,3.115,3.502,3.397,3.721,4.639,5.9,7.328
Denmark,,6.128,6.438,7.412,8.746,10.173,10.628,10.025,11.1,10.951,10.82,13.151,14.673
Faroe Islands,,0.07579,0.0757,0.09609,0.08782,0.10095,0.10832,0.11491,0.11917,0.10789,0.10649,0.08034,0.104
Finland,,23.296,21.526,19.836,19.134,25.666,23.495,22.472,24.337,27.764,21.78,24.263,23.427
Former Czechoslovakia,,--,--,--,--,--,--,--,--,--,--,--,--
Former Serbia and Montenegro,,11.88,12.326,11.633,9.752,11.01,11.912,--,--,--,--,--,--
Former Yugoslavia,,--,--,--,--,--,--,--,--,--,--,--,--
France,,70.682,78.884,65.381,64.375,65.426,57.753,63.264,67.479,75,71.236,79.266,66.543
Germany,,41.048,45.519,51.455,52.967,62.9652,64.4852,73.9974,92.5564,94.964,99.272,109.591,127.277
Germany East,,--,--,--,--,--,--,--,--,--,--,--,--
Germany West,,--,--,--,--,--,--,--,--,--,--,--,--
Gibraltar,,0,0,0,0,0,0,0,0,0,0,0,0
Greece,,4.27,3.014,3.657,5.985,6.01,6.456,7.645,4.593,5.736,8.15,10.576,8.037
Hungary,,0.296,0.311,0.264,0.367,0.96,1.94,1.623,2.027,2.469,3.01,3.17,2.77
Iceland,,7.615,7.963,8.34,8.423,8.548,8.611,9.853,11.891,16.342,16.709,16.931,17.083
Ireland,,1.177,1.021,1.373,1.132,1.388,1.867,2.468,2.787,3.578,4.0994,3.7254,5.4224
Italy,,50.957,54.634,48.724,44.619,54.864,49.557,51.901,49.083,59.445,70.537,78.6,85.777
Luxembourg,,0.202,0.20095,0.18395,0.168,0.228,0.239,0.28,0.304,0.322,0.307,0.312,0.3
Macedonia,,1.158,0.62,0.749,1.36,1.467,1.477,1.634,1,0.832,1.257,2.405,NA
Malta,,0,0,0,0,0,0,0,0,0,0.001,0.002,0
Montenegro,,--,--,--,--,--,--,1.733,1.271,1.524,2.05,2.749,NA
Netherlands,,4.181,4.507,5.206,5.326,6.629,8.871,9.468,9.092,10.995,12.346,12.763,14.009
Norway,,140.727,119.627,128.479,105.08,108.404,135.222,119.28,133.684,139.051,125.309,117.766,121.405
Poland,,2.642,3.082,3.208,2.519,3.383,4.063,4.507,5.637,6.792,8.892,11.1045,12.9065
Portugal,,13.012,15.856,9.916,17.824,12.483,8.518,15.918,16.403,14.86,18.507,28.52,24.223
Romania,,14.63,14.774,15.886,13.129,16.352,20.012,18.176,15.844,17.052,15.576,20.349,16.366
Serbia,,--,--,--,--,--,--,10.855,9.937,9.468,10.436,11.772,NA
Slovakia,,4.601,5.038,5.373,3.5602,4.1,4.654,4.784,4.913,4.542,4.8832,5.911,4.356
Slovenia,,3.841,3.813,3.367,3.044,4.159,3.527,3.653,3.333,4.252,4.838,4.864,3.847
Spain,,36.119,49.364,34.932,56.273,50.736,42.014,52.422,58.672,62.858,74.498,97.801,86.997
Sweden,,82.598,82.774,70.745,58.522,68.373,81.37,71.45,77.586,81.603,79.894,82.642,83.579
Switzerland,,38.226,42.742,36.764,36.393,35.421,33.05,33.021,37.244,38.119,37.813,38.246,34.389
Turkey,,30.899,24.152,33.673,35.243,45.878,39.44,44.176,36.217,34.165,37.869,55.319,57.422
United Kingdom,,10.438,12.028,13.945,13.438,16.263,19.443,20.45,21.464,23.305,26.922,27.146,36.274
Armenia,,1.248,0.958,1.641,1.962,1.978,1.756,1.808,1.83698,1.78103,2.003,2.537,NA
Azerbaijan,,1.519,1.288,2,2.444,2.727,2.979,2.493,2.34,2.21,2.285,3.412,2.649
Belarus,,0.027,0.03,0.028,0.028,0.034,0.066,0.129,0.124,0.121,0.188,0.256,NA
Estonia,,0.019,0.019,0.03,0.049,0.06,0.111,0.13,0.145,0.197,0.541,1.044,1.181
Former U.S.S.R.,,--,--,--,--,--,--,--,--,--,--,--,--
Georgia,,5.801,5.487,6.699,6.461,5.989,6.174,5.262,6.75,7.09,7.338,9.273,NA
Kazakhstan,,7.456,8,8.801,8.539,7.976,7.777,7.691,8.09,7.386,6.811,7.943,7.841
Kyrgyzstan,,13.546,12.306,10.679,13.381,13.953,14.116,14.738,13.809,10.633,9.811,10.227,NA
Latvia,,2.795,2.811,2.459,2.315,3.165,3.381,2.759,2.801,3.181,3.521,3.6,NA
Lithuania,,0.336,0.324,0.354,0.33,0.424,0.45519,0.431,0.576,0.599,0.68,0.906,NA
Moldova,,0.057,0.072,0.12,0.063,0.058,0.062,0.076,0.033,0.081,0.054,0.078,NA
Russia,,165.034,175.122,163.558,156.345,176.283,174.005,174.827,177.767,166.129,175.552,168.101,166.591
Tajikistan,,13.774,14.064,15.012,16.173,16.176,16.797,16.534,16.943,16.642,15.642,15.687,NA
Turkmenistan,,0.005,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,NA
Ukraine,,11.167,11.928,9.553,9.177,11.668,12.277,12.792,10.087,11.313,11.86,13.071,NA
Uzbekistan,,5.817,5.899,6.124,7.544,8.92,8.544,9.068,6.336,11.246,9.237,10.732,10.087
Bahrain,,0,0,0,0,0,0,0,0,0.001,0.002,0.002,0.0025
Iran,,3.662,5.06,8.034,11.014,10.568,16.01,18.208,17.95,5.149,7.386,9.594,12.0942
Iraq,,0.605,0.612,0.512,0.429,0.488,5.94,6.03504,5.67864,3.45015,3.19473,4.71834,NA
Israel,,0.031,0.02,0.032,0.043,0.039,0.039,0.025,0.024,0.025,0.097,0.145,0.312
Jordan,,0.042,0.046,0.06,0.05,0.061,0.064,0.059,0.072,0.072,0.068,0.07,NA
Kuwait,,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon,,0.445,0.33,0.671,1.349,1.109,1.036,0.688,0.579,0.369,0.616,0.831,NA
Oman,,0,0,0,0,0,0,0,0,0,0,0,0
Palestinian Territories,,0,0,0,0,0,0,0,0,0,0,0,0
Qatar,,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,,0,0,0,0,0,0,0,0,0,0,0,0
Syria,,3.199,3.376,2.426,2.73,4.133,4.282,3.906,3.443,2.84,1.847,2.566,NA
United Arab Emirates,,0,0,0,0,0,0,0,0,0,0.01,0.02,0.019
Yemen,,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,,0.053,0.068,0.056,0.262,0.248,0.549,0.216,0.224,0.28,0.339,0.171,0.374
Angola,,0.903,1.007,1.132,1.229,1.733,2.197,2.638,2.472,3.103,3.063,3.5,NA
Benin,,0.002,0.002,0.002,0.002,0.001,0.001,0.005,0.004,0.004,0.002,0.002,NA
Botswana,,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,,0.097,0.053,0.064,0.096,0.10044,0.09947,0.07986,0.1103,0.13457,0.13097,0.12,NA
Burundi,,0.098,0.114,0.126,0.1,0.09,0.095,0.092,0.116,0.111,0.12,0.15,NA
Cameroon,,3.408,3.439,3.15,3.493,3.881,3.734,4.496,3.885,4.267,4.047,4.276,NA
Cape Verde,,0.008,0.006,0.006,0.005,0.006,0.006,0.007,0.007,0.006,0.007,0.007,0.007
Central African Republic,,0.083,0.082,0.082,0.083,0.124,0.133,0.139,0.136,0.136,0.135,0.135,NA
Chad,,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,,0.002,0.002,0.003,0.004,0.005,0.005,0.005,0.005,0.005,0.005,0.005,NA
Congo (Brazzaville),,0.292,0.331,0.392,0.339,0.327,0.351,0.368,0.332,0.371,0.327,0.426,NA
Congo (Kinshasa),,5.939,5.914,6.049,6.098,7.007,7.319,7.445,7.742,7.404,7.718,7.771,NA
Cote dIvoire (IvoryCoast),,1.746,1.782,1.712,1.814,1.838,1.533,1.607,1.894,1.997,2.217,1.711,NA
Djibouti,,0,0,0,0,0,0,0,0,0,0,0,0
Egypt,,13.6972,15.2002,12.9342,13.2572,13.0412,13.0702,13.4122,16.1862,15.4662,13.8672,14.4012,15.1972
Equatorial Guinea,,0.002,0.002,0.005,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,NA
Eritrea,,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002
Ethiopia,,1.635,1.9721,2.003,2.257,2.496,2.805,3.226,3.351,3.2771,3.5133,4.9003,NA
Gabon,,0.802,0.876,0.921,0.898,0.891,0.811,0.943,0.8,0.892,0.884,0.808,NA
Gambia The,,0,0,0,0,0,0,0,0,0,0,0,0
Ghana,,6.544,6.543,4.986,3.846,5.228,5.573,5.563,3.69,6.133,6.808,6.925,NA
Guinea,,0.406,0.546,0.589,0.396,0.549,0.489,0.456,0.533,0.524,0.517,0.519,NA
Guinea-Bissau,,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,,2.057,3.175,3.79,4.33,4.191,4.316,4.574,4.79,4.317,3.819,5.18,NA
Lesotho,,0.288,0.285,0.314,0.325,0.297,0.347,0.198,0.198,0.2,0.2,0.2,NA
Liberia,,0,0,0,0,0,0,0,0,0,0,0,0
Libya,,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar,,0.54,0.528,0.535,0.604,0.634,0.641,0.631,0.712,0.692,0.734,0.711,NA
Malawi,,1.023,1.045,1.093,1.139,1.259,1.307,1.339,1.367,1.521,1.659,1.733,NA
Mali,,0.233,0.234,0.236,0.234,0.248,0.255,0.263,0.268,0.278,0.282,0.3,NA
Mauritania,,0.032,0.034,0.034,0.041,0.044,0.049,0.051,0.054,0.06,0.11,0.116,NA
Mauritius,,0.505,0.52,0.515,0.547,0.5714,0.5434,0.49627,0.52342,0.5674,0.582,0.623,0.58
Morocco,,0.775,1.068,1.0361,1.6441,1.7911,1.1751,1.1711,1.1851,1.2181,2.9331,4.0921,NA
Mozambique,,9.555,11.723,12.547,10.761,11.551,13.131,14.57,15.902,14.963,16.781,16.481,NA
Namibia,,1.366,1.356,1.446,1.497,1.586,1.641,1.59,1.56,1.476,1.395,1.235,1.39
Niger,,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria,,5.686,5.85,8.152,7.374,8.027,7.69,6.2,6.165,5.664,4.484,6.31,NA
Reunion,,0.754,0.756,0.769,0.772,0.779,0.784,0.785,0.866,0.973,0.965,0.96,NA
Rwanda,,0.11,0.088,0.097,0.116,0.083,0.065,0.038,0.0422,0.0682,0.0982,0.1102,NA
Saint Helena,,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,,0.01,0.004,0.006,0.007,0.006,0.004,0.008,0.01,0.012,0.012,0.01,NA
Senegal,,0.053,0.062,0.262,0.39,0.335,0.319,0.286,0.219,0.259,0.29,0.302,NA
Seychelles,,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,,0.015,0.015,0.016,0.016,0.016,0.018,0.004,0.018,0.02,0.05,0.1,NA
Somalia,,0,0,0,0.01,0,0,0,0,0,0,0,NA
South Africa,,1.65,2.368,2.669,1.089,1.256,1.637,3.19,1.244,1.574,1.767,2.451,NA
Sudan and South Sudan,,1.681,1.765,1.784,1.661,1.606,1.758,1.866,1.946,1.958,3.706,4.314,NA
Swaziland,,0.195,0.19,0.201,0.122,0.102,0.157,0.154,0.171,0.157,0.202,0.236,NA
Tanzania,,2.121,2.576,2.693,2.524,2.333,1.76,1.422,2.486,2.628,2.603,2.548,NA
Togo,,0.099,0.05,0.086,0.123,0.0819,0.0749,0.0928,0.1005,0.0919,0.095,0.098,NA
Tunisia,,0.086,0.077,0.093,0.197,0.196,0.186,0.129,0.092,0.069,0.175,0.189,NA
Uganda,,1.551,1.546,1.668,1.752,1.888,1.839,1.24056,1.478,1.711,1.486,1.585,NA
Western Sahara,,0,0,0,0,0,0,0,0,0,0,0,0
Zambia,,7.673,7.814,8.021,8.174,8.375,8.794,9.746,9.703,9.569,10.279,11.16,NA
Zimbabwe,,3.227,2.968,3.786,5.305,5.466,5.776,4.241,4.232,3.482,3.692,4.023,NA
Afghanistan,,0.312,0.498,0.555,0.63,0.565,0.59,0.637,0.748,0.61101,0.8261,0.9011,NA
American Samoa,,0,0,0,0,0,0,0,0,0,0,0,0
Australia,,17.422,18.001,17.712,18.509,18.52,19.898,21.258,20.806,19.61,18.811,21.329,24.856
Bangladesh,,0.9375,0.984,1.057,1.118,1.218,1.2855,1.387,1.4,1.481,1.5682,1.532,1.5508
Bhutan,,1.792,1.921,2.178,2.502,2.329,2.62,4.474,6.494,6.891,6.928,7.23,NA
Brunei,,0,0,0,0,0,0,0,0,0,0,0,0
Burma (Myanmar),,1.873,1.804,2.21,2.228,2.384,2.967,3.292,3.583,4.03,5.203,5.054,NA
Cambodia,,0.047,0.031,0.03,0.049,0.042,0.059,0.065,0.065,0.062,0.058,0.049,NA
China,,223.246,277.869,288.437,284.368,353.823,397.67,437.902,488.729,596.785,639.28,770.919,797.422
Cook Islands,,0.0001,0.0001,0.0001,0.0001,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013
Fiji,,0.4341,0.4831,0.4701,0.3641,0.3871,0.3591,0.3611,0.5381,0.5351,0.5001,0.4541,0.4961
French Polynesia,,0.116,0.105,0.131,0.154,0.178,0.177,0.198,0.22,0.209,0.208,0.172,NA
Guam,,0,0,0,0,0,0,0,0,0,0,0,0
Hawaiian Trade Zone,,--,--,--,--,--,--,--,--,--,--,--,--
Hong Kong,,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001
India,,76.755,77.033,68.004,80.056,90.278,109.258,123.24,133.174,124.867,123.026,135.271,162
Indonesia,,14.791,17.578,16.083,15.317,16.252,17.244,16.217,18.23002,19.7694,20.6281,26.9532,24.89096
Japan,,105.397,102.78,102.552,116.767,117.178,104.274,116.049,103.949,106.065,106.833,115.237,116.435
Kiribati,,0,0,0,0,0,0,0,0,0,0,0,0
Korea North,,10.098,10.494,10.514,11.603,12.375,13.001,12.494,13.147,13.927,12.339,13.274,NA
Korea South,,4.085,4.238,3.454,5.133,4.712,4.075,4.05,4.614,4.427,4.751,6.341,7.553
